text/AK01042008CW241182005.txt:Mr.Abhinav Prasad, Advocate.
text/AK02042008CW149812005.txt:Mr.Arvind Sharma, Advocate.
text/AK02042008CW149812005.txt:Mr.M.P.Sinha, Advocate.
text/AK02042008CW7052008.txt:Mr.Rajat Aneja, Advocate.
text/AK02112007AAP3592007.txt:Mr.B.P. Singh, Advocate
text/AK02112007AAP3592007.txt:Mr.Sanjeev Sabharwal, Advocate
text/AK03032008CW109662005.txt:Through: Mr.P.K.Srivastava, Advocate.
text/AK03032008CW109662005.txt:Mr.H.K.Chaturvedi, Advocate
text/AK03032008CW109662005.txt:Through: Mr.H.K.Chaturvedi, Advocate.
text/AK03032008CW109662005.txt:Mr.P.K.Srivastava, Advocate.
text/AK03032008CW11952008.txt:Through: Mr.T.K.Samanta, Advocate.
text/AK03032008CW11952008.txt:Mr.J.H.Jafri, Advocate.
text/AK03032008CW188452005.txt:Mr.D.R.Bhatia, Advocate.
text/AK03032008CW203712005.txt:Through: Mr.P.K.Srivastava, Advocate.
text/AK03032008CW203712005.txt:Mr.H.K.Chaturvedi, Advocate
text/AK03032008CW203712005.txt:Through: Mr.H.K.Chaturvedi, Advocate.
text/AK03032008CW203712005.txt:Mr.P.K.Srivastava, Advocate.
text/AK03082007CMM19342006.txt:Through: Mr.Pankaj Gupta, Advocate
text/AK03082007CMM19342006.txt:Through : Mr.R.K.Shukla, Advocate
text/AK03122007AAP3952007.txt:Through: Mr.Rajiv Kumar, Advocate.
text/AK03122007AAP3952007.txt:Through : Ms.Amita Gupta, Advocate.
text/AK03122007AAP3962007.txt:Through: Mr.Rajiv Kumar, Advocate.
text/AK03122007AAP3962007.txt:Through : Ms.Amita Gupta, Advocate.
text/AK04022008CW3222008.txt:Through: Mr.Ashok Aggarwal, Advocate.
text/AK04022008CW3222008.txt:Through: Mr.Rajendra Dhawan, Advocate.
text/AK04022008CW8792008.txt:Mr.S.P. Gautam, Advocate.
text/AK04022008CW8792008.txt:Through : Mr.Nawal Kishore Jha, Advocate.
text/AK04032008CW158382004.txt:Ms.Saroj Bidawat, Advocate for
text/AK04032008CW158382004.txt:Mr.G. Tripathi, Advocate for
text/AK04032008CW238352005.txt:Mr.S.D. Kaushik, Advocate.
text/AK04032008CW238352005.txt:Through : Mr.Varun Prasad, Advocate.
text/AK04032008CW492006.txt:Through: Mr.S.D. Kaushik, Advocate.
text/AK04032008CW492006.txt:Through : Mr.Varun Prasad, Advocate.
text/AK05022008CW25001996.txt:Mr.Gurdeep Singh, Advocate
text/AK05022008CW4092008.txt:Through: Mr.N.S.Dalal, Advocate.
text/AK05022008CW4092008.txt:Through : Mrs.Avnish Ahlawat, Advocate.
text/AK05032007CP3032006.txt:Ms.Eliane Muhury, Advocates
text/AK05052008CW220202005.txt:Mr. Deepak Vohra, Advocate.
text/AK05052008CW220202005.txt:Chaudhary, Advocates.
text/AK05102007S19852006.txt:Mr.P.D. Gupta, Advocate
text/AK05122007AAP342005.txt:Through: Mr.Saran Suri, Advocate.
text/AK05122007AAP342005.txt:Mr.Anurag Mathur, Advocate.
text/AK05122007AAP342005.txt:Chopra, Advocate, (Additional District Judge, Retd.),181, Deshbandhu
text/AK05122007AAP4082007.txt:Through: Mr.S.K.Goyal, Advocate.
text/AK05122007AAP4082007.txt:Through : Mr.Gaurav Kanth, Advocate.
text/AK05122007AAP902007.txt:Vinod Khanna, Advocates for the petitioner.
text/AK05122007OMP2352003.txt:Mr.Naveen Kumar, Advocates
text/AK05122007OMP2352003.txt:Mr.Siddharth Mridul,Sr.Advocate
text/AK05122007OMP2352003.txt:Advocate.
text/AK06022008CW44901997.txt:Through: Mr.S.S. Ray, Advocate.
text/AK06022008CW44901997.txt:Through : Mr.S.K. Kashyap, Advocate for
text/AK06022008CW44901997.txt:Mr.Yashpal Singh, Advocate for
text/AK06082007AAP4412006.txt:Through: Mr.V.K. Sharma, Advocate
text/AK06082007AAP4412006.txt:Through : Mr.Ajay Monga, Advocate
text/AK06122007AAP5292006.txt:Through: Mr.Vivekanand, Advocate.
text/AK06122007AAP5292006.txt:Through : Mr.Bhupesh Narula, Advocate.
text/AK07012008CW74872005.txt:Through: Mr.Jaswinder Singh, Advocate.
text/AK07012008CW74872005.txt:Through : Mr.Varun Prasad, Advocate
text/AK07012008CW92008.txt:Through: Mr.Rajesh Aggarwal, Advocate
text/AK07022008CW192272006.txt:Through: Mr.Gaurang Kanth, Advocate.
text/AK07022008CW192272006.txt:Through: Mr.Sanjoy Ghosh, Advocate.
text/AK07032007CP532007.txt:Mr.Vibhu Bakhru, Advocate
text/AK07032008CW141342006.txt:Through: Mr.H.K.Chaturvedi, Advocate.
text/AK07032008CW141342006.txt:Through: Mr.Dhanesh Relan, Advocate.
text/AK07112007S11782007.txt:Mr.Vinay Kr. Garg, Advocate
text/AK07112007S11782007.txt:Advocate for defendant No.3.
text/AK07112007S11782007.txt:Anand Kumar, Advocate who is/was a junior to Shri
text/AK07112007S11782007.txt:A.K.Wali, Advocate. Shri A.K.Wali is a retainer of the
text/AK07122007AAP4172007.txt:Through: Mr.Ashish Nischal, Advocate.
text/AK07122007AAP4172007.txt:Through : Mr.Amit K.Paul, Advocate.
text/AK08012008CW1052008.txt:Ms.Deepti Kathpalia, Advocate
text/AK08012008CW87292007.txt:Mr.Vinay Sabharwal, Advocate
text/AK08012008CW87292007.txt:Mr.Virender Singh, Advocate for
text/AK08012008CW87562007.txt:Mr.K.C. Mittal, Advocate
text/AK08012008CW87562007.txt:Through : Mr.Mukesh Gupta, Advocate for
text/AK08022008CW121782006.txt:Through: Mr.R.N.Singh, Advocate.
text/AK08022008CW121782006.txt:Through: Ms.Renu Verma, Advocate.
text/AK09012008CW118032005.txt:Through: Mohd.Sajid, Advocate for the
text/AK09012008CW118032005.txt:Through: Ms. Rekha Palli, Advocate for
text/AK09032007CW129142006.txt:Ms.Monika Garg, Advocate.
text/AK09042008CW28882008.txt:Mr.A.K.Soni, Advocate.
text/AK09042008CW28882008.txt:Mr.Nikhil Singhla, Advocate.
text/AK09042008CW28912008.txt:Mr.Virender Singh, Advocate.
text/AK09042008CW28912008.txt:Ms.Latika Chaudhary, Advocate.
text/AK09042008CW28952008.txt:Ms.Raavi Birbal, Advocate.
text/AK09052008CW36232008.txt:Mr.Rajiv Sharma, Advocate.
text/AK09052008CW36232008.txt:Advocate for respondents/MCD.
text/AK10012008CW59122002.txt:Desai, Advocates.
text/AK10012008CW59122002.txt:Gupta, Advocates.
text/AK10032008CW50481999.txt:Mr.Suresh Tripathi, Advocate
text/AK10032008CW50481999.txt:Mr. Amit Bhardwaj, Advocate
text/AK10092007S3401993.txt:Through: Mr.Sandeep Sharma, Advocate
text/AK10092007S3401993.txt:Through : Mr.Sanjay Katyal, Advocate
text/AK11012008CW3161999.txt:Through: Mr.V.K.Tandon, Advocate.
text/AK11012008CW3161999.txt:Mr.Sanjay Ghose, Advocate.
text/AK11022008CW141892005.txt:Through: Mr.Ashok Aggarwal, Advocate.
text/AK11022008CW141892005.txt:Through: Mr.Subhash Oberoi, Advocate.
text/AK11022008CW49022003.txt:Through: Mr.A.K. Sukhija, Advocate.
text/AK11022008CW49022003.txt:Through : Mr.S.P. Gautam, Advocate.
text/AK11032008CW154482006.txt:Ms.Neha Gupta, Advocate.
text/AK11032008CW154482006.txt:Mr.Syed Sajad Ali, Advocate.
text/AK11032008CW197412004.txt:Ms.Arati Mahajan, Advocate.
text/AK11032008CW197412004.txt:Ms.Deepti Yadav, Advocate
text/AK11032008CW21281997.txt:Latika Chaudhary, Advocates.
text/AK11032008CW21281997.txt:Samarndra Das, Advocate Vs. State of West Bengal to contend that
text/AK11032008CW6742006.txt:Mr.Alakh Kumar, Advocate for
text/AK11032008CW6742006.txt:Mr.Gajender Giri, Advocate for the
text/AK11032008CW6742006.txt:Mr.Brijendra Kulshreshtra, Advocate for
text/AK11032008CW75112002.txt:Ms.Arati Mahajan, Advocate.
text/AK11032008CW75112002.txt:Mr.J.P.S.Sirohi, Advocate for the
text/AK11042008CW24292008.txt:Mr.R.K.Saini, Advocate.
text/AK11042008CW24292008.txt:Mr.Sanjeev Sabharwal, Advocate.
text/AK11092007S7062005.txt:Advocates.
text/AK11122007AAP3782007.txt:Mr.B.P. Singh, Advocate.
text/AK11122007AAP3782007.txt:Through: Mr.Alok Singh, Advocate.
text/AK11122007AAP3782007.txt:Mr.G.P.Thareja, Advocate( Retd. Additional District Judge), B-201,
text/AK11122007AAP3792007.txt:Mr.B.P. Singh, Advocate.
text/AK11122007AAP3792007.txt:Through: Mr.Alok Singh, Advocate.
text/AK11122007AAP3792007.txt:Mr.G.P.Thareja (Advocate), B-201, Priyadarshini Apartments, I.P
text/AK11122007AAP3802007.txt:Mr.B.P. Singh, Advocate.
text/AK11122007AAP3802007.txt:Through: Ms.Sumita Kapil, Advocate.
text/AK11122007AAP3802007.txt:Mr.G.P.Thareja (Advocate), B-201, Priyadarshini Apartments, I.P
text/AK11122007AAP4182007.txt:Through: Mr.A.K.Mata, Sr.Advocate, with
text/AK11122007AAP4182007.txt:Mr.Jayant Mehta, Advocate.
text/AK11122007AAP4182007.txt:Ms.Anusuya Salwan, Advocate.
text/AK11122007AAP4632006.txt:Through: Mr.Ranjit Singh, Advocate
text/AK11122007AAP4632006.txt:Through : Mr.A.K. Sharma, Advocate.
text/AK12012007CW99522006.txt:Mr.Anil Kumar Sangal, Advocate
text/AK12012007CW99522006.txt:Ms.Rashmi Rai, Advocates.
text/AK12012007CW99522006.txt:statutory body constituted under the Advocates Act 1961 and is empowered to lay down standards of legal education, University of Delhi
text/AK12022008CW110092006.txt:Through: Mr.Sudhir Nandrajog, Advocate.
text/AK12022008CW110092006.txt:Through : Mr.Mahipal Singh, Advocate.
text/AK12022008CW11172008.txt:Mr.Mukul Gupta, Advocate.
text/AK12022008CW11172008.txt:Mr.Vikas Chopra, Advocate for
text/AK12022008CW11242008.txt:Through: Mr.J.Buther, Advocate.
text/AK12022008CW6771999.txt:Dubey, Advocates.
text/AK12022008CW6771999.txt:Mr.Sanjoy Ghosh, Advocate for
text/AK12032008CW11742008.txt:Mr.Rajiv Aneja, Advocate.
text/AK12032008CW11742008.txt:Mr.Daiyan Hussain, Advocate
text/AK12032008CW11742008.txt:Ms.Shefali Dhawan, Advocate
text/AK12032008CW16402008.txt:Mr.S.K. Dayal, Advocate.
text/AK12032008CW19802008.txt:Through: Mr.Som Dutt Sharma, Advocate.
text/AK12032008CW19802008.txt:Through: Mr.Piyush Sharma, Advocate.
text/AK12032008CW19812008.txt:Through: Mr.Jagat Arora, Advocate.
text/AK12032008CW19812008.txt:Through : Mr.Piyush Sharma, Advocate.
text/AK12032008CW47402004.txt:Mr.J.K.Chaudhary, Advocate.
text/AK12032008CW47402004.txt:Mr.J.K.Tiwari, Advocate for the
text/AK12032008CW73872007.txt:Mr.B.K. Sinha, Advocate.
text/AK12032008CW73872007.txt:Advocates.
text/AK12032008CW92992006.txt:Mr.Apurb Lal, Advocate.
text/AK12032008CW92992006.txt:Mr.Rakesh Mehta, Advocate.
text/AK12032008CW92992006.txt:advocate
text/AK12032008CW92992006.txt:Sh.J.K.Singhal, Advocate. Replication to the reply filed by the
text/AK12032008CW92992006.txt:representative, as an advocate could not be allowed to appear on
text/AK12032008CW92992006.txt:dated 3rd July, 2005 disallowing petitioner’s advocate to appear on his
text/AK12032008CW92992006.txt:object to appearance of petitioner’s advocate till 5th July, 2005 when
text/AK12032008CW92992006.txt:advocate. For implied consent it is contended on behalf of petitioner
text/AK12032008CW92992006.txt:could not bar the advocate to appear on behalf of the petitioner. The
text/AK12032008CW92992006.txt:had not made any objection to the appearance of the advocate of the
text/AK12032008CW92992006.txt:later on regarding appearance of an advocate on behalf of the
text/AK12032008CW92992006.txt:advocate.
text/AK12032008CW92992006.txt:company being represented by an advocate.
text/AK12032008CW92992006.txt:advocate
text/AK12032008CW92992006.txt:represented by an advocate and no objections were taken.
text/AK12032008CW92992006.txt:company decided to change their erstwhile advocate and filed a new
text/AK12032008CW92992006.txt:authorization in favor of another advocate and in these circumstances
text/AK12032008CW92992006.txt:objection regarding the appearance of the advocate on behalf of the
text/AK12032008CW92992006.txt:taken about the appearance of an advocate on behalf of the petitioner
text/AK12032008CW92992006.txt:advocate on behalf of petitioner company. As already held after filing
text/AK12032008CW92992006.txt:representation of the petitioner company by an advocate.
text/AK12032008CW92992006.txt:advocate
text/AK12032008CW92992006.txt:appearance of an advocate on behalf of the management cannot be
text/AK12032008CW92992006.txt:company is entitled to be represented by an advocate.
text/AK12122007OMP5762006.txt:Through: Ms.Smita Shankar, Advocate.
text/AK12122007OMP5762006.txt:Through: Mr.Sanjoy Bhaumik, Advocate.
text/AK13022008CW11372008.txt:Mr.B.S.Arora, Advocate.
text/AK13022008CW11372008.txt:Mr.Mukesh Gupta, Advocate for
text/AK13032008CW117422004.txt:Mr.Ranjit Sharma, Advocate.
text/AK13032008CW117422004.txt:Mr.Narendra Kalra, Advocate
text/AK13032008CW168942006.txt:Through: Mr.Jagat Arora, Advocate.
text/AK13032008CW168942006.txt:Through : Mr.Piyush Sharma, Advocate.
text/AK13032008CW18002008.txt:Ms.Rashmeet K.Charya, Advocate.
text/AK13032008CW18002008.txt:Mrs.Avnish Ahlawat, Advocate.
text/AK13112007AAP1772003.txt:Through: Mr.Sudhir Nandrajog, Advocate.
text/AK13112007AAP1772003.txt:Through : Mr.Pranay Ranjan, Advocate.
text/AK13112007AAP1942003.txt:Through: Mr.Sudhir Nandrajog, Advocate.
text/AK13112007AAP1942003.txt:Through : Mr.Pranay Ranjan, Advocate.
text/AK13112007OMP2512007.txt:Mr.Gaurav Sahah, Advocate.
text/AK14012008AAP11082001.txt:Ms. Rekha Aggarwal Advocate.
text/AK14012008AAP11082001.txt:Mr.Vinay Sabharwal Advocate for
text/AK14012008AAP11082001.txt:Mr.K.N.Dutta, Advocate for
text/AK14022008CW94902004.txt:Through: Mr.Deepak Agrariya, Advocate
text/AK14022008CW94902004.txt:Through: Mr.Rajiv Bajaj, Advocate.
text/AK14052007CP822006.txt:Mr.Biju Mattam, Advocates
text/AK14052007CP822006.txt:Ms.Prerna Mehta, Advocates.
text/AK14052007CP822006.txt:The reliance of Mr. Valmiki Mehta, learned Senior Advocate
text/AK14052007CR6051997.txt:Through: Mr.I.D. Tyagi, Advocate.
text/AK14052007CR6051997.txt:Through: Mr.C.L.Dhawan, Advocate.
text/AK14112007PR472006.txt:Mr.V.K.Jhanji, Sr.Advocate with
text/AK14112007PR472006.txt:Ms.Mandakini Sharma, Advocate.
text/AK14112007PR472006.txt:Ms.Jyoti Mendiratta, Advocate for
text/AK14122007AAP4332006.txt:Ms.Ranjana Srivastava, Advocate
text/AK14122007AAP4332006.txt:Ms.P.L.Gautam, Advocate
text/AK14122007AAP4332006.txt:Advocate, (Retd. Additional District Judge) B-201, Priyadarshini Apartments,
text/AK14122007AAP4352006.txt:Advocate
text/AK14122007AAP4352006.txt:Ms.P.L.Gautam, Advocate
text/AK14122007AAP4352006.txt:Mr.G.P.Thareja Advocate, (Retd. Additional District Judge) B-201,
text/AK14122007EX732005.txt:Mr.Sukumar Pattjoshi, Advocate.
text/AK14122007EX732005.txt:Pattjoshi, Advocate on record for the decree holder, to accept the same
text/AK14122007EX732005.txt:Mr.Sukumar Pattjoshi, Advocate, again appeared on 30th
text/AK15012008CW96702007.txt:Mr.Dharmendra Kumar, Advocate.
text/AK15012008CW96702007.txt:Through: Mr.J.K.Chaudhary, Advocate for the
text/AK15052008CW18532008.txt:Mr.Anshul Tyagi, Advocate.
text/AK15052008CW18532008.txt:Mr.Neeraj Yadav, Advocate for the
text/AK16012008CW92712007.txt:Through: Mr.Sanjay Ghose, Advocate.
text/AK16012008CW92712007.txt:Through: Mr.Kanwal Chaudhary, Advocate.
text/AK16112007S7832006.txt:Chatterjee, Advocates
text/AK16112007S7832006.txt:and Ms.Dhirity Phookan, Advocates
text/AK16112007S7832006.txt:NIXI and he came in contact with Mr.Rishi Chawla, Advocate, who
text/AK16112007S7832006.txt:with Mr.C.V. Francis, Advocate, and he with his senior will be able to
text/AK16112007S7832006.txt:sent by Mr.Rishi Chawla, Advocate, for signing and then sending it
text/AK16112007S7832006.txt:applicant further asserted that Mr.Rishi Chawla, Advocate, was paid
text/AK16112007S7832006.txt:for making the payment to Mr.C.V. Francis, Advocate, which amount
text/AK16112007S7832006.txt:at Connaught Place, Delhi. Mr.Rishi Chawla, Advocate had assured
text/AK16112007S7832006.txt:the applicant that Mr.C.V. Francis, Advocate, shall look after the
text/AK16112007S7832006.txt:said advocate through courier.
text/AK16112007S7832006.txt:received by Mr.C.V. Francis, Advocate, and since nothing was
text/AK16112007S7832006.txt:in continuous touch with Mr.Rishi Chawla, Advocate. It is contended
text/AK16112007S7832006.txt:Advocate, in this regard who always represented that the counsel is
text/AK16112007S7832006.txt:24th February, 2007 from Francis and George, Advocates and
text/AK16112007S7832006.txt:Consultants, of Mr.C.V. Francis, Advocate, asking him to make
text/AK16112007S7832006.txt:by Rishi Chawla advocate.
text/AK16112007S7832006.txt:Mr.C.V. Francis, Advocate, he tried to contact Mr.Rishi Chawla a
text/AK16112007S7832006.txt:Mr.Rishi Chawla, Advocate, who after persistence enquiry by the
text/AK16112007S7832006.txt:Advocate, also refused to return the money which was paid by the
text/AK16112007S7832006.txt:counsel engaged by the defendant, Mr.Rishi Chawla, Advocate, was
text/AK16112007S7832006.txt:paid the fees and the vakalatnama was sent to Mr. Francis Advocate
text/AK16112007S7832006.txt:2006 on which date Mr.C.V. Francis, Advocate, appeared for the
text/AK16112007S7832006.txt:Advocate, who was also associated with NIXI where the defendant is a
text/AK16112007S7832006.txt:Chawla, Advocate, was paid Rs.25,000/- which fact cannot be
text/AK16112007S7832006.txt:however, Mr.C.V. Francis, Advocate, had stated in a letter written to
text/AK16112007S7832006.txt:defendant but he was entrusted brief by Mr.Rishi Chawla, Advocate,
text/AK16112007S7832006.txt:from Mr.Rishi Chawla, Advocate, without any further authorization.
text/AK16112007S7832006.txt:from Mr.C.V. Francis, Advocate, who appeared without proper
text/AK16112007S7832006.txt:Mr.A.K. Singh, Advocate who filed the written statement dated 15th
text/AK16112007S7832006.txt:the intimation was sent by Mr.C.V. Francis, Advocate, to the
text/AK16112007S7832006.txt:commence from18th December, 2006 when Mr.C.V. Francis, Advocate
text/AK16112007S7832006.txt:watchdog of the advocate that the latter appears in the
text/AK16112007S7832006.txt:because of the default of his advocate. If we reject this
text/AK16112007S7832006.txt:Advocate absented himself deliberately or intentionally.
text/AK16112007S7832006.txt:suffering injustice merely because his chosen advocate
text/AK16112007S7832006.txt:advocate who absented himself. The right to execute that
text/AK16112007S7832006.txt:not have any personal interest in the matter and the learned advocate
text/AK17012008CW141982004.txt:Through: Mr.S.R.Singh, Sr.Advocate with
text/AK17012008CW141982004.txt:Mr.Gulab Chandra, Advocate.
text/AK17012008CW141982004.txt:Through: Mr.Virender Kumar Sharma, Advocate.
text/AK17012008CW141982004.txt:Through: Mr.S.R.Singh, Sr.Advocate with
text/AK17012008CW141982004.txt:Mr.Gulab Chandra, Advocate.
text/AK17012008CW141982004.txt:Through: Ms.Pinky Anand, Advocate.
text/AK17012008CW37202006.txt:Through: Mr.S.R.Singh, Sr.Advocate with
text/AK17012008CW37202006.txt:Mr.Gulab Chandra, Advocate.
text/AK17012008CW37202006.txt:Through: Mr.Virender Kumar Sharma, Advocate.
text/AK17012008CW37202006.txt:Through: Mr.S.R.Singh, Sr.Advocate with
text/AK17012008CW37202006.txt:Mr.Gulab Chandra, Advocate.
text/AK17012008CW37202006.txt:Through: Ms.Pinky Anand, Advocate.
text/AK17032008CW100862005.txt:Mr.J.B.Malik, Advocate.
text/AK17032008CW100862005.txt:Mr.Anil Mittal, Advocate.
text/AK17032008CW12442005.txt:Mr.A.K.Bhardwaj, Advocate.
text/AK17032008CW12442005.txt:Mr.Varun Prasad, Advocate.
text/AK17032008CW18382008.txt:Mr.Ashim Vachher, Advocate.
text/AK17032008CW21122008.txt:Through: Mr.Umesh Singh, Advocate.
text/AK17042005S4412005.txt:Mr.Sidharth Chopra, Advocate.
text/AK17042005S4412005.txt:Mr.Sunil Magon, Advocate.
text/AK17042007CW36471995.txt:Mr.Anil Kumar Sangal, Advocate
text/AK17042007CW36471995.txt:Ms. Avinash Ahlawat Advocate.
text/AK17052007S11281990.txt:Through: Mr.Sandeep Sharma, Advocate
text/AK17052007S11281990.txt:Mr.Shubhanshu Singh, Advocates.
text/AK17092007PR81994.txt:Through: Mr.Rajiv Endlaw, Advocate
text/AK18012008CW1352006.txt:Through: Ms.Anusuya Salwan, Advocate.
text/AK18012008CW1352006.txt:Through : Mr.Varun Prasad, Advocate.
text/AK18092007S10561998.txt:Through: Mr.Vijay Choudhary, Advocate
text/AK18092007S10561998.txt:Advocates
text/AK18092007S10561998.txt:counsel Sh.Deepak Khosla, Advocate at his chamber
text/AK18092007S10561998.txt:approaching Sh.Deepak Khosla, Advocate regularly but they were falsely told
text/AK18092007S10561998.txt:Khosla, Advocate on number of occasions personally and they were always
text/AK18092007S10561998.txt:advocate on the same date who enquired about the case and then
text/AK18092007S10561998.txt:advice of advocate cannot as a rule be accepted as a sufficient cause and on
text/AK18092007S10561998.txt:where the parties generally appear through their advocates, the obligation of the parties
text/AK18092007S10561998.txt:is to select his advocate, brief him, pay the fees demanded by him and then trust the
text/AK18092007S10561998.txt:learned Advocate to do the rest of the things. The party may be a villager or may belong
text/AK18092007S10561998.txt:regard to his appeal nor is he to act as a watchdog of the advocate that the latter appears in the matter when it is listed. It is no part of his job. Mr A.K. Sanghi
text/AK18092007S10561998.txt:default of his advocate. If we reject this appeal, as Mr A.K.
text/AK18092007S10561998.txt:The answer obviously is in the negative. Maybe that the learned Advocate absented himself deliberately or intentionally. We have no material for ascertaining that aspect of
text/AK18092007S10561998.txt:party to an innocent party suffering injustice merely because his chosen advocate defaulted. Therefore, we allow this appeal, set aside the order of the
text/AK18092007S10561998.txt:to Rs 200 should be recovered from the advocate who absented himself. The right to execute that order is reserved with the
text/AK18092007S10561998.txt:is relied by the defendant had held that improper advice of advocate as a rule
text/AK18092007S10561998.txt:did not appear on final hearing on account of advice of advocate. Since the
text/AK18092007S10561998.txt:Authority cannot justify its rights by placing the entire blame on their advocate
text/AK18092007S10561998.txt:the negligence of advocate was not sufficient to allow the application. The
text/AK18092007S10561998.txt:approach his advocate as was recovering from losses suffered by him during
text/AK18092007S10561998.txt:negligence or misdemeanor of the advocate where the Court finds that the
text/AK18092007S10561998.txt:such a party can disown its advocate and seek relief as no such absolute
text/AK18092007S10561998.txt:party who has selected his advocate, briefed him and paid his fee can remain
text/AK19022008CW6872008.txt:Kumar, Advocates.
text/AK19022008CW6872008.txt:Through : Ms.Kittu Bajaj, Advocate.
text/AK19032008CW192232006.txt:Mr.Awadhesh Kumar, Advocate.
text/AK19032008CW22142008.txt:Through: Mr.K.A.Dewan, Advocate.
text/AK19032008CW32752001.txt:Mr.Sanjeet Kumar, Advocate.
text/AK19032008CW32752001.txt:Mr.Sanjeev Kumar, Advocate for
text/AK19072007CMM2572006.txt:Mr.Y.K. Jain, Sr. Advocate with
text/AK19072007CMM2572006.txt:Mr.Abhinav Jain, Advocate.
text/AK19072007CMM2572006.txt:Sachar, Advocates.
text/AK19122007AAP3492006.txt:Through: Mr.V.K.Sharma, Advocate
text/AK19122007AAP3492006.txt:Through : Mr.Sirish Kumar, Advocate.
text/AK20022007CW93272006.txt:Through: Mr.N.K.Kaul, Sr.Advocate with
text/AK20022007CW93272006.txt:Ms.Shobna Takiar, Advocate.
text/AK20022007CW93272006.txt:Advocates.
text/AK20022008CW207732005.txt:Mr.M.Rajan, Advocate.
